EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
adder,Vipera berus,rVipBer3,rVipBer3.hap1,2,94,[('OZ077565.1', 69153116, 70930794), ('OZ077560.1', 5869580, 7607460)],2,NA,IGH
Hungarian meadow viper,Vipera ursinii,rVipUrs1,rVipUrs1.pri,0,90,[('OX365967.1', 5066786, 6074449)],1,0.0079257045163571,IGH
snub-nosed viber,Vipera latastei,rVipLat1,rVipLat1.pri,0,97,[('CM044371.1', 130523650, 132411793)],1,0.0136810456512344,IGH
Smith's blind skink,Dibamus smithi,rDibSmi1,rDibSmi1.hap1,0,22,[('CM100519.1', 62023437, 62174474)],1,0.0022788679414156,IGH
Eastern musk turtle,Sternotherus odoratus,rSteOdo2_p1.0,rSteOdo2.pri,0,91,[('JAVMKO010000013.1', 35747001, 36486275)],1,0.0200340447110132,IGH
olive python,Liasis olivaceus,rLiaOli1,rLiaOli1.hap1,0,92,[('CM061351.1', 108699810, 111872309)],1,0.0273112582482708,IGH
viper boa,Candoia aspera,rCanAsp1,rCanAsp1.hap2,0,201,[('NC_086156.1', 110859083, 114843490)],1,0.0334027487352306,IGH
stout iguana,Cyclura pinguis,rCycPin1,rCycPin1.hap1,0,123,[('JASZZL010000001.1', 133094664, 135992108)],1,0.0202907980009328,IGH
Filfola wall lizard,Podarcis filfolensis,rPodFil1,rPodFil1.hap1,0,107,[('OZ185447.1', 7210082.0, 10050877.0)],1,0.052285234863317,IGH
Ibiza wall lizard,Podarcis pityusensis,rPodPit1,rPodPit1.hap1,2,129,[('OZ067050.1', 45155881, 48279981), ('OZ078260.1', 4848409, 34340266)],2,NA,IGH
Bocage's wall lizard,Podarcis bocagei,rPodBoc1,rPodBoc1.hap1,0,122,[('OZ076898.1', 47245089.0, 50138783.0)],1,0.0496417226428844,IGH
Andalusian wall lizard,Podarcis vaucheri,rPodVau1,rPodVau1.hap1,2,81,[('OZ220375.1', 8105287.0, 10826730.0), ('OZ220381.1', 20016161.0, 26587342.0)],2,NA,IGH
sand lizard,Lacerta agilis,rLacAgi1,rLacAgi1.pri,0,82,[('NC_046325.1', 6811108.0, 8561923.0)],1,0.0338515291380809,IGH
Tyrrhenian wall lizard,Podarcis tiliguerta,rPodTil1,rPodTil1.hap1,0,156,[('OZ229122.1', 43752187.0, 46338444.0)],1,0.0475490802162072,IGH
common wall lizard,Podarcis muralis,rPodMur119,rPodMur119.hap1,0,146,[('OZ076966.1', 7866864.0, 10549418.0)],1,0.0450079767797431,IGH
Aegean wall lizard,Podarcis erhardii,rPodErh1,rPodErh1.hap1,0,96,[('OZ176212.1', 5801412.0, 8447214.0)],1,0.0470923419825565,IGH
Italian wall lizard,Podarcis siculus,rPodSic1,rPodSic1.hap1,0,117,[('OZ076850.1', 7734995.0, 10380294.0)],1,0.0477821871305979,IGH
Cretan wall lizard,Podarcis cretensis,rPodCre2.1,rPodCre2.pri,0,111,[('OX638161.1', 47336304.0, 49538177.0)],1,0.0381801665760455,IGH
Columbretes wall lizard,Podarcis liolepis,rPodLio1,rPodLio1.hap1,2,149,[('OZ218110.1', 7811638, 10075735), ('OZ218116.1', 20604687, 30548077)],2,NA,IGH
Aeolian wall lizard,Podarcis raffonei,rPodRaf1,rPodRaf1.pri,0,140,[('NC_070614.1', 45640771.0, 48572744.0)],1,0.0521255370139793,IGH
European common lizard,Zootoca vivipara,rZooViv1,rZooViv1.pri,0,93,[('NC_083288.1', 45326148, 47362529)],1,0.0371260304670775,IGH
Skyros wall lizard,Podarcis gaigeae,rPodGai1,rPodGai1.hap1,0,112,[('OZ066926.1', 8471787.0, 11237224.0)],1,0.0485782659452881,IGH
Dalmatian wall lizard,Podarcis melisellensis,rPodMel1,rPodMel1.hap1,0,121,[('OZ174287.1', 8082485.0, 10578536.0)],1,0.044380846236895,IGH
European leaf-toed gecko,Euleptes europaea,rEulEur1,rEulEur1.hap1,0,95,[('JARABB010000018.1', 4423006, 5846945)],1,0.0334424494787768,IGH
leopard gecko,Eublepharis macularius,rEubMac1,rEubMac1.pri,0,137,[('NC_072801.1', 73598179, 76434553)],1,0.034980115945273,IGH
Southern alligator lizard,Elgaria multicarinata webbii,rElgMul1,rElgMul1.pri,0,95,[('NC_086181.1', 40516382, 42783938)],1,0.0464240446658898,IGH
Southern California legless lizard,Anniella stebbinsi,rAnnSte1,rAnnSte1.hap1,0,73,[('JARDYG010000005.1', 5024158, 7688554)],1,0.0131464387584032,IGH
Chinese crocodile lizard,Shinisaurus crocodilurus,rShiCro1,rShiCro1.pri,2,54,[('JAHFWL010000038.1', 3230, 365518), ('CM037877.1', 293401761, 294065006), ('JAHFWL010001052.1', 632, 235637), ('JAHFWL010000039.1', 4485, 528517)],4,NA,IGH
Western whiptail stejnegeri,Aspidoscelis tigris stejnegeri,rAspTig1,rAspTig1.pri,0,54,[('JALMGB020000009.1', 5422752, 8434821)],1,0.0571680040895817,IGH
brown anole,Anolis sagrei,rAnoSag1,rAnoSag1.mat,0,72,[('NC_090026.1', 9872145, 10849300)],1,0.0072626444806593,IGH
yellow-spotted Amazon river turtle,Podocnemis unifilis,rPodUni1,rPodUni1.pri,2,145,[('CM113751.1', 302152, 2208404), ('JBNCFJ010000030.1', 13522, 257555)],2,NA,IGH
arrau turtle,Podocnemis expansa,rPodExp1,rPodExp1.hap2,0,137,[('CM098530.1', 61643046, 68193341)],1,0.0465848379795406,IGH
pig-nosed turtle,Carettochelys insculpta,ASM3395843v1,rCarIns1,0,73,[('NC_134168.1', 3345985, 4067355)],1,0.055821930078229,IGH
American alligator,Alligator mississippiensis,rAllMis1,rAllMis1.hap2,2,293,[('NC_081830.1', 3942503, 9006128), ('NC_081837.1', 17695090, 21115857)],2,NA,IGH
Indian roofed turtle,Pangshura tecta,rPanTec1,rPanTec1.hap2,0,88,[('CM099119.1', 377799, 1759137)],1,0.0316754763023139,IGH
Cape dwarf chameleon,Bradypodion pumilum,rBraPum1,rBraPum1.hap1,0,26,[('CM106089.1', 6366422, 6803265)],1,0.002989545511244,IGH
panther chameleon,Furcifer pardalis,rFurPar1,rFurPar1.pri,0,53,[('CP126897.1', 5340534, 5790573)],1,0.0040388489599504,IGH
blue-tongue skink,Tiliqua scincoides,rTilSci1,rTilSci1.hap2,0,246,[('CM068512.1', 138204435, 140955040)],1,0.0186966260760436,IGH
Florida worm lizard,Rhineura floridana,rRhiFlo1,rRhiFlo1.hap2,0,70,[('NC_084490.1', 6393170, 8078621)],1,0.0226859875691981,IGH
Mexican gopher tortoise,Gopherus flavomarginatus,rGopFla2,rGopFla2.mat,0,151,[('NC_066627.1', 201849, 3142485)],1,0.0550118675529593,IGH
Goode's Thornscrub Tortoise,Gopherus evgoodei,rGopEvg1,rGopEvg1.pri,0,144,[('NW_022060060.1', 530190, 3331544)],1,0.79640890841801,IGH
Indian gharial,Gavialis gangeticus,rGavGan2,rGavGan2.hap2,0,287,[('CM057595.1', 65295684, 75481882)],1,0.106299814416197,IGH
leatherback sea turtle,Dermochelys coriacea,rDerCor1,rDerCor1.4.pri,0,96,[('NC_050080.1', 37584991, 40955038)],1,0.0818773142166481,IGH
European pond turtle,Emys orbicularis,rEmyOrb1,rEmyOrb1.hap1,0,367,[('NC_088694.1', 47743543, 55940918)],1,0.146155885585342,IGH
diamondback terrapin,Malaclemys terrapin,rMalTer1,rMalTer1.hap1,0,210,[('NC_071516.1', 44571755, 49282656)],1,0.093545448803105,IGH
