EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
Southern black rhinoceros,Diceros bicornis minor,mDicBic1,mDicBic1.mat,0,6,[('scaffold_9', 5560989, 5951054)],1,0.0047641799621422,IGK
Amazon manatee,Trichechus inunguis,mTriInu1,mTriInu1.hap2,0,38,[('CM102170.1', 44747094, 48467409)],1,0.0718530507033316,IGK
dugong,Dugong dugon,mDugDug1,mDugDug1.hap1,0,15,[('JASCZM010000011.1', 2398871, 3082813)],1,0.0052769162370038,IGK
North American beaver,Castor canadensis,mCasCan1,mCasCan1.hap1,0,34,[('NC_133397.1', 77122777, 79292808)],1,0.0165683419606842,IGK
Lesser Egyptian jerboa,Jaculus jaculus,mJacJac1,mJacJac1.mat,0,40,[('NC_059107.1', 41089795, 42783626)],1,0.010124430003917,IGK
pig,Sus scrofa,mSusScr2,mSusScr2.pri,0,44,[('CM107794.1', 74410121, 74950052)],1,0.0035837966441539,IGK
European hedgehog,Erinaceus europaeus,mEriEur2.1,mEriEur2.pri,0,6,[('SUPER_3', 66693347, 66804764)],1,0.0005999932244498,IGK
Bornean orangutan,Pongo pygmaeus,mPonPyg2,mPonPyg2.hap1,0,38,[('CM054619.2', 47991028, 48751897)],1,0.0055256966875472,IGK
Sumatran orangutan,Pongo abelii,mPonAbe1,mPonAbe1.hap1,0,38,[('NC_071997.2', 43473051, 44242925)],1,0.0057805672136058,IGK
human,Homo sapiens,T2T-CHM13v2.0,T2T-CHM13v2,0,56,[('NC_060926.1', 88894851, 92224216)],1,0.0137182099577506,IGK
pig-tailed macaque,Macaca nemestrina,mMacNem1,mMacNem1.hap1,0,70,[('CM091523.1', 101059893, 102550149)],1,0.0122473785455719,IGK
crab-eating macaque,Macaca fascicularis,T2T-MFA8v1.0,mMacFas1.hap1,0,69,[('NC_088387.1', 20623569, 22097804)],1,0.0120710435199669,IGK
gorilla,Gorilla gorilla,mGorGor1,mGorGor1.pri,0,29,[('NC_073236.2', 50998486, 51843029)],1,0.005788267550823,IGK
bonobo,Pan paniscus,mPanPan1,mPanPan1.pri,0,33,[('NC_073261.2', 37872980, 38411637)],1,0.0042564262924518,IGK
Philippine flying lemur,Cynocephalus volans,mCynVol1,mCynVol1.pri,0,48,[('SUPER_14', 83796228, 85255684)],1,0.014201969835138,IGK
common brushtail possum,Trichosurus vulpecula,mTriVul1,mTriVul1.pri,0,8,[('JAANDF010008931.1', 489397.0, 581349.0)],1,0.155719673427638,IGK
ring-tailed lemur,Lemur catta,mLemCat1,mLemCat1.pri,0,11,[('h2tg000086l', 673216, 765545)],1,0.0176242356958298,IGK
Chinese pangolin,Manis pentadactyla,mManPen7,mManPen7.hap1,0,50,[('scaffold_1', 74282886, 77985724)],1,0.0157300339264479,IGK
Malayan tapir,Tapirus indicus,mTapInd1,mTapInd1.hap2,0,25,[('CM062923.1', 73952981, 74694433)],1,0.0054069489852366,IGK
black and rufous elephant shrew,Rhynchocyon petersi,mRhyPet1,mRhyPet1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
common gundi,Ctenodactylus gundi,mCteGun2,mCteGun2.hap1,0,25,[('CM109711.1', 34267949, 34465529)],1,0.0029551570399437,IGK
North American porcupine,Erethizon dorsatum,mEreDor1,mEreDor1.pri,0,62,[('CM051824.1', 12238125, 13292267)],1,0.006601125981606,IGK
Botta's pocket gopher,Thomomys bottae,mThoBot2,mThoBot2.hap1,0,138,[('JANJXW010000010.1', 2149124, 6310603)],1,0.0603536992624455,IGK
European shrew,Sorex araneus,mSorAra2,mSorAra2.pri,0,33,[('SUPER_X', 306039010, 307895555)],1,0.0049591865898104,IGK
